patent_id,patent_abstract,patent_title,claim_text,cpc_subclass,generated_abstract
11213100,"A foot presence sensor system for an active article of footwear can include a sensor housing configured to be disposed at or in an insole of the article, and a controller circuit, disposed within the sensor housing, configured to trigger one or more automated functions of the footwear based on a foot presence indication. In an example, the sensor system includes a capacitive sensor configured to sense changes in a capacitance signal in response to proximity of a body. A dielectric member can be provided between the capacitive sensor and the body to enhance an output signal from the sensor.",Foot presence sensing systems for active footwear,"A foot presence sensor system for an active footwear article, the sensor system comprising: a controller circuit provided in the article and configured to trigger one or more automated functions of the article based on a foot presence indication; a capacitive sensor configured to sense a foot location inside the article and provide the foot presence indication, wherein the capacitive sensor includes at least two spaced apart electrodes on a shared planar substrate, and wherein the electrodes are parallel with at least a portion of an upper surface of an insole of the article; and an airgap filling member disposed between the upper surface of the insole and a foot-facing surface of the capacitive sensor in a foot arch-receiving portion of the active footwear article, wherein the airgap filling member has a relative permittivity that is greater than the relative permittivity of air, and wherein the airgap filling member is configured to augment a responsiveness of the capacitive sensor to foot location changes inside the footwear.",A61B," This system is a flexible form of passive footwear that comprises a sensor, comprising an airgap filling member and an airgap filling device, and it provides an effective response to a foot presence event by providing an accurate sensor that detects a possible presence, such as a heel strike, foot placement change in the article, or a drop-in foot position change in the toe joint on one of the electrodes. The device consists of both a finger or finger and an airgap filling plate. A finger and a finger and an airgap filling pin are positioned vertically and are coupled to a toe plate in the sensor. The finger portion of an airgap filling pin is positioned perpendicular to the toe piece. A finger and a finger and an airgap filling pin are inserted in the finger. The finger portion of the airgap filling pin comprises a finger-shaped adhesive adhesive that is fastened to a pin in the airgap filling member and allows easy insertion and control thereof. This airgap filling also includes an airgap filling electrode comprising at least two spaced apart electrodes on the same planar substrate or a single airgap filling electrode that includes at least a portion of an upper surface of an insole of the insole. The electrodes are provided such that the electrodes are parallel to the inside of the foot, and the airgap filling electrode is a capacitive sensor that sense a foot location or other location that is not specified by the foot location indication. It is possible"
11213186,"The endoscope apparatus includes an endoscope and a video processor. The endoscope apparatus has a voice coil motor provided in a distal end portion of an insertion portion of the endoscope and having a coil with a resistance component, and a signal wire inserted into the insertion portion and connected to both ends of the coil, detects at least one value of a current supplied to the signal wire and a voltage applied to the signal wire, calculates power consumption of the coil from the at least one value detected and resistance value information of the resistance component, and executes a predetermined process based on the calculated power consumption of the coil and power consumption threshold information.",Endoscope apparatus and image processing apparatus,"An endoscope apparatus comprising: an endoscope; a device provided in a distal end portion of an insertion portion of the endoscope and having a resistance component; a signal wire inserted into the insertion portion and connected to both ends of the device; and a processor comprising hardware, wherein the processor is configured to: detect at least one value of: a current supplied to the signal wire, and a voltage applied to the signal wire, calculate power consumption of the device from the at least one value detected and resistance value information of the resistance component, and stop power supply to the signal wire when the calculated power consumption of the device exceeds a power consumption threshold.",A61B,"The device in FIGS. 1-8 includes a detachable device, wherein the device comprises a device for sensing the current in a portion of the insertion portion of the endoscope. An endoscope device comprises: an endoscope device which includes an endoscope component and an endoscope sensor; a probe, wherein each probe acts as a probe of its own, for a specific end-to-end information of the end-to-end information being sensed. A probe also includes an inductance device, wherein the inductance of the probe causes the end-to-end information to be sensed into which the resistance information is located. Thereby the end-to-end information is sensed back to the device by means of the probe.

Cells

The invention relates solely to a method for producing an array of cells from the patient's blood. The method requires that each of the cells of the patient be a fixed-length length (1.6 m, preferably in the range 0.4 to 1.5 μm), that is, those cells which are being produced in sufficient proportion to the weight of the patient's body. As such, cells of cells having the mass of a cell with the number of leaves equal to the number of cells produced is required.

One element of the technique is to create cells of one, three, or more cells each in one cell. In such a cell are the same elements, or, at least that is, cells in different cell shapes. The method will have a number of parameters which cannot be changed at this time. The number of cells will depend upon the specific cell shape.

Each of the cells are produced individually in a set of predetermined order and cells of the same size at"
11213187,"There is provided an endoscope from which excellent close contact feeling is obtained and which is easy to grip in a case in which an operator is to grip a grip portion.A grip portion of an endoscope has a cross-sectional shape symmetric with respect to a second center line. The grip portion includes a first curved surface, second curved surfaces, and ridges. The first curved surface is a curved surface that is convex outward from a plane, which includes an intersection point between the second center line and the first curved surface and the ridge, and a plane, which includes an intersection point between the second center line and the first curved surface and the ridge. The second curved surfaces are concave inward from planes parallel to the second center line.",Endoscope,"An endoscope comprising: an insertion part that is to be inserted into a subject and has a first center line; an operation unit that is connected to a proximal end portion of the insertion part; and a grip portion that is provided integrally with the operation unit and has a cross-sectional shape symmetric with respect to a second center line, wherein the first center line and the second center line are orthogonal to each other, the grip portion includes a first curved surface that crosses the second center line, a second curved surface that is disposed at a position away from the second center line, and a ridge that is positioned between the first and second curved surfaces, the entire first curved surface is convex outward from a plane including an intersection point between the second center line and the first curved surface and the ridge, and the second curved surface is concave inward from a plane parallel to the second center line, wherein a radius of curvature of the first curved surface is maximum at a position where the first curved surface passes through the intersection point, and the radius of curvature of the first curved surface is decreased as the first curved surface is away from the second center line, wherein the ridge is formed in a round shape having a radius in a range of 0.7 mm to 1.0 mm.",A61B,"A invention with the intent to create a mechanical apparatus, as described above, comprising, either an electronic and/or magnetic device and an electronic and/or magnetic system, a magnetic device having a plurality of such plurality of plurality of plurality of magnetic magnets, or a plurality of plurality of plurality of plurality of magnets, or a magnetic device having a plurality of plurality of plurality of plurality of magnetic motors, a plurality of plurality of plurality of plurality of magnetic resistors, or a plurality of plurality of plurality of plurality of plurality of plurality of magnets, wherein, in accordance with the embodiment described above with respect to each of the plurality of magnetic magnet sources, the magnetic magnet source and the electromagnetic magnet source of the magnetic device are at least partially located in the plurality of plurality of magnetic magnets to provide in the embodiment, the device having the plurality of magnetic magnets to provide in such plurality of magnetic magnets, and the electromagnetic source to provide in the plurality of magnetic magnets, all of the magnets of which are located at or near a plurality of the plurality of magnetic magnets in which the plurality of magnetic magnets is located. In the"
11213188,"An optical fiber scanning device includes a housing, an optical fiber configured to emit light, a magnet disposed on the optical fiber, four drive coils configured to drive the optical fiber by applying to the magnet a magnetic field generated by a received drive power signal, and four detection coils configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.","Optical fiber scanning device, optical scanning type endoscope and endoscope system","An optical fiber scanning device comprising: a housing having a cylindrical shape; an optical fiber that is arranged along a center axis of the housing and configured to emit light from a free end of the optical fiber; a magnet disposed on the optical fiber; four drive coils that are disposed in the housing and configured to drive the free end of the optical fiber by applying, to the magnet, a magnetic field generated by a received drive power signal; and four detection coils that are disposed in the housing and configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.",A61B," The invention provides an optical fiber scanner for the processing of optical information that is transmitted on optical fiber and a magnetic transmission to transmit optical data to each such optical fiber, according to a preferred embodiment described herein and described in greater detail in greater detail below. The scanning device comprises: a housing containing a plurality of sensors and a plurality of housing devices for generating or generating scanning data, where the sensor is a free end, a magnet, and each sensor is configured to rotate the optical fiber according to a predetermined time (e.g., milliseconds) and to produce a scanned signal with a predetermined speed (e.g., seconds). An external end of the housing is configured to receive the signal for processing on an optical fiber. A magnet is located at the base of the magnet and configured to generate a free end that emits laser energy to provide an intensity. The magnet is placed on the optical fiber after the scanning sensor is disposed at rotationally symmetrical position and after the image is processed. FIGS. 8A–8G illustrate an interface of an optical fiber scanner 10 with an optical sensor 11 and a magnet 10 during a scanning operation of the optical fiber at a predetermined interval.

FIGS. 8B–8E illustrate a scanning operation of the optical fiber 11 (and optionally a scanning device or a scanner with a magnetic field) of the scanning device and an input signal to the scanning device of the scanner 11. The output signal from the scanning device 11 is a radio frequency (RF) signal and is generated by the scanning device 9. The"
11213189,"The invention relates to an endoscopic device, in particular for medical applications, comprising an endoscope with a shaft that is introducible into a subject under examination, and a data processing unit, three or more optical imaging units having respective imaging elements arranged distally on the shaft and image sensors associated therewith for providing image data sets for the data processing unit, wherein the data processing unit is configured and programmed such that it uses the image data sets to determine corresponding image points therein and generates a 3D surface data set of an object imaged by the imaging units in the subject under examination. Moreover, the invention relates to a method for endoscopic examination.",Endoscopic device and method for endoscopic examination,"An endoscopic device, comprising: an endoscope with a shaft that is introducible into a subject under examination, a data processing unit, and three or more optical imaging units comprising respective imaging elements arranged distally on the shaft and respective image sensors associated therewith for providing three or more image data sets for the data processing unit, wherein the data processing unit is configured and programmed to: analyze each of the three or more image data sets and determine corresponding image points in each of the three or more image data sets; on the basis of the three or more image data sets, generate a 3D surface data set of an object in the subject under examination imaged by the three or more optical imaging units; identify the object in the respective 3D surface data set and determine differences between successive 3D surface data sets; and determine changes in a position and/or shape of the object in the successive 3D surface data sets as a function of time so as to track the object, at least in sections thereof.",A61B,"The object in the 3D surface data set and the object identified in the spatial coordinates, as well as the objects identified with the 3D surface data set (which are the same at the time of the drawings), shall be regarded as a 3D object. An example of the data set is the object of FIG. 1, which is at an initial position, and the objects in it are identified with the three or more optical imaging units and the data processor. However, in such a case, the object in FIG. 1 will show its spatial position as it moves in the 3D surface data set, and as it moves in the 3D surface data set will be identified by 3D surfaces. As will be further explained in detail, a 3D object is a collection of a set of such objects: The data set includes the various spatial coordinates, the object's initial position and the position and shape of the object in the 3D surface data set, as well as different spatial coordinates of a particular object. Moreover, the spatial coordinates of different objects such as objects of the same name, e.g., a person. At some points in the 3D surface data set, the spatial coordinates of different objects or persons may change. For example, a 3D object in a 3D system will show its position. After having changed from the spatial position in the 3D surface data set to the spatial position"
11213190,"An endoscope including an insertion tube, a working, channel located within the insertion tube, and a protecting feature disposed within at least a portion, of the working channel The protecting feature may be adapted to protect the working-channel from thermal damage and/or from mechanical damage caused by a medical instrument located in the working channel. The protecting feature may be adapted to determine presence or absence of a medical instrument within the working channel, arid/or a location of the medical instrument within the working channel.",Endoscope working channel protection,"An endoscope comprising: a controller; an insertion tube; a working channel within the insertion tube; and a protecting feature disposed within at least a portion of the working channel, the protecting feature adapted to protect the working channel from thermal damage and/or from mechanical damage caused by a medical instrument in the working channel; wherein the protecting feature includes a first pair of opposing parallel plate capacitors operably coupled to the controller and a second pair of opposing parallel plate capacitors operably coupled to the controller; wherein during use: a change in capacitance between the first pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel; and a change in capacitance between the second pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel and at a location within the working channel that is suitable for the medical instrument to be operated; and wherein the controller is operable such that when the change in the capacitance between the first pair of opposing parallel plate capacitors is detected without the change in the capacitance between the second pair of opposing parallel plate capacitors also being detected, the controller prevents operation of the medical instrument.",A61B," There are 3 main features that are commonly called ""motor"" components such as capacitors, resistors, motor controllers, and a set of other related or similar components. For each of these, the motor component receives a base power source (in this case, a single AC output), a pinout of the motor, and a pinout of the motor control. The pinout is then transmitted to a set of pins that determine the direction, direction, direction, and power of the motor component. This pinout determines the power of the motor through the movement of force, which is defined as a ""movement of force"" (or torque). Once the motors' input voltage (e.g., between 0 and 1 V) is reached, the motor is removed from the motor control. The power is then transferred to the motor control in the form of a voltage drop. For example, at 1 V, the motor controller (in this case, the controller, of the controller; in this case, the control) is operating a motor by a series of voltage-divert changes that can cause the motor controller to move faster. This is the same function that is used by a switch in a switch, including operation of motor"
11213191,"An endoscopic probe extending from a proximal end to a distal end thereof, and configured to be inserted in a tubular lumen to observe a sample is disclosed. The probe includes a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; and a plurality of second waveguides having at least the distal ends thereof arranged in one or more rings around the inner sheath to surround the distal end of the first waveguide. At the distal end, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a tilt angle which can be adjustable. This novel endoscopic probe has a resultant numerical aperture larger than the numerical aperture of each of the second waveguides, and it may be applicable to forward-viewing spectrally encoded endoscopes (SEE).",Optical fiber arrangement for endoscope,"An endoscopic probe extending from a proximal end to a distal end thereof, and configured to observe a sample, the probe comprising: a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; a plurality of second waveguides having at least the distal ends thereof arranged in a first ring pattern around the inner sheath to surround the distal end of the first waveguide, wherein, at the distal end of the inner sheath, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a predetermined angle, wherein the axis of each of the second waveguides is tilted with respect to the axis of the inner sheath, wherein one or more of the second waveguides has its distal end polished perpendicular to the axis of the inner sheath, and wherein the axis of a cone of acceptance for each of the second waveguides is tilted with respect to the axis of the first waveguide by an angle larger than the predetermined angle.",A61B," ""In order to measure the shape and composition of the human ear, an object should fit within the reach of, and preferably reach over the ears of, another person, or through another person without interference with the normal operation of the body of the body, so as to receive the sound, as well as the sensation. The device may be shaped according to a geometric shape, and be, for example, a device designed to measure the volume of sound, as well as the extent at which the volume of sound is in harmony with, or can be perceived by, the ear and the other person, in accordance with the following principles:In either case, the object should be placed within the reach of and preferably reach over, by people, without interference with the normal operation of the body of the body, so as to receive the sound as well as the sensation. The object should be placed within the reach of people who are, for instance, persons or persons of other faiths or other groups of people, with their senses and consciousness being in harmony with the normal operation of the body of the body... In each case, the objective object should be, for example, a device that measures the volume of sound... In the case of a non-human embodiment, an apparatus that, for example, allows a"
11213192,"An optical scope includes a body and an elongated shaft. The shaft distal end holds an optical assembly including an imaging lens with a field of view of at least 90 degrees. An LED is coupled to the body and has an output numerical aperture (NA) providing a critical angle larger than the field of view. A first pair of fiber bundles have proximal ends receiving light from the LED with distal ends presented at the shaft distal face, and an NA providing a critical angle less than the field of view. A second pair of fiber bundles also receive light from the LED with distal ends having at the shaft distal face, and have an NA providing a critical angle at least as large as the field of view. The bundles are positioned around imaging lens such that they create a light having a desired intensity profile and properties.",Endoscope device and method with illumination fiber bundles having multiple numerical apertures,"An optical device for use in endoscope procedures comprising: a body; an elongated shaft connected to the body and having a distal tip with a distal face; an optical assembly including an imaging lens at the shaft distal face and having a field of view of at least 90 degrees, where the field of view has an angular value of 2θ fov ; an illumination system including: a light emitting diode (LED) coupled to the body, the LED having a radiation distribution larger than the field of view; a first pair of fiber bundles having proximal ends positioned to receive light from the LED, the first pair of fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face, the first pair of fiber bundles having a first numerical aperture (NA) value with an associated critical angle θ c1 , where θ c1 <θ fov ; a second pair of fiber bundles having proximal ends positioned to receive light from the LED, the second pair of fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face, the second pair of fiber bundles having a second numeral aperture (NA) value with an associated second critical angle θ c2 , where θ c2 ≥θ fov ; and wherein the distal ends of first and second pairs of fibers are positioned around the imaging lens such that they create a light field with a higher intensity in a central portion, a lower intensity surrounding the central portion, and all the fiber bundles contribute to create a spatially diverse light field with a circumferentially even light intensity within the field of view.",A61B,"A computer program for calculating the density and magnitude of light from a set of data points for the present invention. A computer program, capable of producing the density/dimension values of a data point, in order to approximate the motion of such a data point in the world or to compute that data point's motion. For the present invention an embodiment a system for processing data in a system of sensors and equipment, such as digital cameras or digital displays, or at least one or more processing units of a computer system in various aspects of which the individual sensors and equipment provide the sensing system that provides a sense of motion or to cause the system to move, to indicate a position (e.g. a moving camera or a"
11213193,"An endoscopy system including: an endoscope; a light source; an optical cable connecting the light source to the endoscope; wherein the endoscope includes at least one bundle of endoscope optical fibers; the cable includes at least one bundle of cable optical fibers; a light source coupling point provided where light is coupled into the cable optical fibers; an endoscope coupling point provided where light is coupled from the cable optical fibers into the endoscope optical fibers; and the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling point, the light source including a controller to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling point are not illuminated by the light source.",Endoscopy system and light source of an endoscopy system,"An endoscopy system comprising: an endoscope; a light source; and an optical cable connecting the light source to the endoscope; wherein the endoscope comprises at least one bundle of endoscope optical fibers; the cable comprises at least one bundle of cable optical fibers; a light source coupling is provided where light of the light source is coupled into the at least one bundle of cable optical fibers; an endoscope coupling is provided where light of the light source is coupled from the at least one bundle of cable optical fibers into the at least one bundle of endoscope optical fibers; the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling, the light source comprising a controller configured to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling are not illuminated by the light source; the light source is configured to selectively illuminate individual positions of a predefined virtual position grid arranged to a surface of the light source coupling, and the controller is assigned a memory which, for the individual positions of the predefined virtual position grid, stores information as to whether a cable optical fiber to be illuminated is located at the respective position; and the endoscopy system comprises an image sensor for capturing images generated by the endoscope, and a camera controller configured to evaluate the images captured, wherein the camera controller and the controller are coupled to each other and are configured to determine, based on the evaluation of the captured images, whether one or more of a cable optical fiber coupled to an endoscope optical fiber at the coupling point is located at a position illuminated by the light source, and in which direction light is radiated from an endoscope optical fiber which is coupled to a cable optical fiber arranged at a corresponding position.",A61B," The invention relates to an imaging system comprising at least one endoscope optical fiber coupled to a controller such that the light source of the endoscope optical fiber is located at:

a position of which at least two pairs of cable optic fibers are located at a point. The position at which each of at least two pairs of cable optic fibers is illuminated by a light source, or

a position of wherein at least one of at least two pairs of cable optical fibers is illuminated by a light source, or a position of wherein at least one of at least two pairs of cable optical fibers is illuminated by"
11213194,"Optical fiber waveguide for communicating electromagnetic radiation pulsed by an emitter in an endoscopic imaging system. A system includes an emitter for emitting pulses of electromagnetic radiation and an endoscope comprising an image sensor for sensing reflected electromagnetic radiation. The system includes a waveguide communicating the pulses of electromagnetic radiation from the emitter to the endoscope. The system is such that at least a portion of the pulses of electromagnetic radiation emitted by the emitter comprises one or more of a hyperspectral emission, a fluorescence emission, and/or a laser mapping pattern.","Optical fiber waveguide in an endoscopic system for hyperspectral, fluorescence, and laser mapping imaging","A system comprising: an emitter for emitting pulses of electromagnetic radiation; an endoscope comprising an image sensor, wherein the image sensor comprises a pixel array for sensing reflected electromagnetic radiation; a waveguide for communicating the pulses of electromagnetic radiation from the emitter to the endoscope; and a controller in electronic communication with the emitter and the image sensor; wherein the image sensor captures data for generating a plurality of exposure frames in response to the pulses of electromagnetic radiation by the emitter, and wherein the plurality of exposure frames comprises a laser mapping exposure frame and further comprises two or more of: a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 513 nm to about 545 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 565 nm to about 585 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 900 nm to about 1000 nm; or a fluorescence exposure frame for identifying a fluorescent reagent, wherein the fluorescence exposure frame is sensed in response to an emission of a fluorescence excitation wavelength; and wherein the laser mapping exposure frame comprises data for calculating a three-dimensional topographical map of a scene and is sensed in response to the emitter pulsing a laser mapping pattern.",A61B,"A system comprising: an emitter for emitting pulses of electromagnetic radiation; an endoscope comprising an image sensor; a waveguide for communicating the pulses of electromagnetic radiation; a waveguide for communicating the pulses of electromagnetic radiation from the emitter to the endoscope; and a controller in electronic communication with the emitter and the image sensor. Abstract:One such emitter is shown using a circuit diagram. In the invention, several emitter emitters are used to transmit and receive electromagnetic radiation. In the first embodiment of the invention, only one such emitter is shown. In this embodiment, one or more different emitters are used for multiple emitter emitters. For example, multiple emitter emitters can have different properties and thus may be combined together in a single machine. The emitter emitters are"
