patent_id,patent_abstract,patent_title,claim_text,cpc_subclass,generated_abstract
11213100,"A foot presence sensor system for an active article of footwear can include a sensor housing configured to be disposed at or in an insole of the article, and a controller circuit, disposed within the sensor housing, configured to trigger one or more automated functions of the footwear based on a foot presence indication. In an example, the sensor system includes a capacitive sensor configured to sense changes in a capacitance signal in response to proximity of a body. A dielectric member can be provided between the capacitive sensor and the body to enhance an output signal from the sensor.",Foot presence sensing systems for active footwear,"A foot presence sensor system for an active footwear article, the sensor system comprising: a controller circuit provided in the article and configured to trigger one or more automated functions of the article based on a foot presence indication; a capacitive sensor configured to sense a foot location inside the article and provide the foot presence indication, wherein the capacitive sensor includes at least two spaced apart electrodes on a shared planar substrate, and wherein the electrodes are parallel with at least a portion of an upper surface of an insole of the article; and an airgap filling member disposed between the upper surface of the insole and a foot-facing surface of the capacitive sensor in a foot arch-receiving portion of the active footwear article, wherein the airgap filling member has a relative permittivity that is greater than the relative permittivity of air, and wherein the airgap filling member is configured to augment a responsiveness of the capacitive sensor to foot location changes inside the footwear.",A61B,"Abstract:
The present invention relates to a foot presence sensor system for active footwear articles. The sensor system includes a controller circuit that triggers automated functions based on foot presence indication. A capacitive sensor with spaced electrodes on a substrate is used to sense foot location. An airgap filling member with enhanced relative permittivity is placed between the insole and sensor to improve sensor responsiveness to foot movement in the footwear."
11213186,"The endoscope apparatus includes an endoscope and a video processor. The endoscope apparatus has a voice coil motor provided in a distal end portion of an insertion portion of the endoscope and having a coil with a resistance component, and a signal wire inserted into the insertion portion and connected to both ends of the coil, detects at least one value of a current supplied to the signal wire and a voltage applied to the signal wire, calculates power consumption of the coil from the at least one value detected and resistance value information of the resistance component, and executes a predetermined process based on the calculated power consumption of the coil and power consumption threshold information.",Endoscope apparatus and image processing apparatus,"An endoscope apparatus comprising: an endoscope; a device provided in a distal end portion of an insertion portion of the endoscope and having a resistance component; a signal wire inserted into the insertion portion and connected to both ends of the device; and a processor comprising hardware, wherein the processor is configured to: detect at least one value of: a current supplied to the signal wire, and a voltage applied to the signal wire, calculate power consumption of the device from the at least one value detected and resistance value information of the resistance component, and stop power supply to the signal wire when the calculated power consumption of the device exceeds a power consumption threshold.",A61B,"Abstract: 
The present invention discloses an endoscope apparatus comprising an endoscope with a device in the distal end portion of the insertion portion, containing a resistance component. The apparatus includes a signal wire connected to the device and a processor with hardware capabilities. The processor is designed to detect current and voltage values in the signal wire, calculate the power consumption of the device based on resistance information, and automatically stop power supply if the power consumption exceeds a predetermined threshold. This innovative design enhances safety and efficiency in endoscopic procedures by preventing overheating and potential damage to the device."
11213187,"There is provided an endoscope from which excellent close contact feeling is obtained and which is easy to grip in a case in which an operator is to grip a grip portion.A grip portion of an endoscope has a cross-sectional shape symmetric with respect to a second center line. The grip portion includes a first curved surface, second curved surfaces, and ridges. The first curved surface is a curved surface that is convex outward from a plane, which includes an intersection point between the second center line and the first curved surface and the ridge, and a plane, which includes an intersection point between the second center line and the first curved surface and the ridge. The second curved surfaces are concave inward from planes parallel to the second center line.",Endoscope,"An endoscope comprising: an insertion part that is to be inserted into a subject and has a first center line; an operation unit that is connected to a proximal end portion of the insertion part; and a grip portion that is provided integrally with the operation unit and has a cross-sectional shape symmetric with respect to a second center line, wherein the first center line and the second center line are orthogonal to each other, the grip portion includes a first curved surface that crosses the second center line, a second curved surface that is disposed at a position away from the second center line, and a ridge that is positioned between the first and second curved surfaces, the entire first curved surface is convex outward from a plane including an intersection point between the second center line and the first curved surface and the ridge, and the second curved surface is concave inward from a plane parallel to the second center line, wherein a radius of curvature of the first curved surface is maximum at a position where the first curved surface passes through the intersection point, and the radius of curvature of the first curved surface is decreased as the first curved surface is away from the second center line, wherein the ridge is formed in a round shape having a radius in a range of 0.7 mm to 1.0 mm.",A61B,"Abstract: The endoscope described in the patent claim is designed with a unique grip portion that provides ergonomic benefits for the user. The grip portion features a symmetrical cross-sectional shape with a first curved surface, a second curved surface, and a ridge. The first curved surface is outwardly convex, while the second curved surface is inwardly concave. The radius of curvature of the first curved surface varies along its length, with a maximum radius at a specific point. The ridge, positioned between the curved surfaces, is rounded with a specific radius. This design aims to enhance the user's comfort and control during endoscopic procedures."
11213188,"An optical fiber scanning device includes a housing, an optical fiber configured to emit light, a magnet disposed on the optical fiber, four drive coils configured to drive the optical fiber by applying to the magnet a magnetic field generated by a received drive power signal, and four detection coils configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.","Optical fiber scanning device, optical scanning type endoscope and endoscope system","An optical fiber scanning device comprising: a housing having a cylindrical shape; an optical fiber that is arranged along a center axis of the housing and configured to emit light from a free end of the optical fiber; a magnet disposed on the optical fiber; four drive coils that are disposed in the housing and configured to drive the free end of the optical fiber by applying, to the magnet, a magnetic field generated by a received drive power signal; and four detection coils that are disposed in the housing and configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.",A61B,"The optical fiber scanning device described in the patent claim consists of a cylindrical housing containing an optical fiber that emits light from its free end. A magnet is attached to the optical fiber, and the device includes four drive coils that generate a magnetic field to drive the optical fiber and four detection coils that output signals based on magnetic field variations. The drive power signal is adjusted based on the induced electromotive force signal from the detection coils. The device is designed with four coil assemblies positioned symmetrically around the optical fiber to facilitate its rotation."
11213189,"The invention relates to an endoscopic device, in particular for medical applications, comprising an endoscope with a shaft that is introducible into a subject under examination, and a data processing unit, three or more optical imaging units having respective imaging elements arranged distally on the shaft and image sensors associated therewith for providing image data sets for the data processing unit, wherein the data processing unit is configured and programmed such that it uses the image data sets to determine corresponding image points therein and generates a 3D surface data set of an object imaged by the imaging units in the subject under examination. Moreover, the invention relates to a method for endoscopic examination.",Endoscopic device and method for endoscopic examination,"An endoscopic device, comprising: an endoscope with a shaft that is introducible into a subject under examination, a data processing unit, and three or more optical imaging units comprising respective imaging elements arranged distally on the shaft and respective image sensors associated therewith for providing three or more image data sets for the data processing unit, wherein the data processing unit is configured and programmed to: analyze each of the three or more image data sets and determine corresponding image points in each of the three or more image data sets; on the basis of the three or more image data sets, generate a 3D surface data set of an object in the subject under examination imaged by the three or more optical imaging units; identify the object in the respective 3D surface data set and determine differences between successive 3D surface data sets; and determine changes in a position and/or shape of the object in the successive 3D surface data sets as a function of time so as to track the object, at least in sections thereof.",A61B,"Abstract: The present invention discloses an endoscopic device that includes an endoscope with a shaft, a data processing unit, and three or more optical imaging units with corresponding image sensors. The data processing unit is programmed to analyze and compare image data from the optical imaging units to generate a 3D surface data set of an object in the subject. By tracking changes in the position and shape of the object over time, the device allows for effective monitoring and tracking of the object during endoscopic procedures."
11213190,"An endoscope including an insertion tube, a working, channel located within the insertion tube, and a protecting feature disposed within at least a portion, of the working channel The protecting feature may be adapted to protect the working-channel from thermal damage and/or from mechanical damage caused by a medical instrument located in the working channel. The protecting feature may be adapted to determine presence or absence of a medical instrument within the working channel, arid/or a location of the medical instrument within the working channel.",Endoscope working channel protection,"An endoscope comprising: a controller; an insertion tube; a working channel within the insertion tube; and a protecting feature disposed within at least a portion of the working channel, the protecting feature adapted to protect the working channel from thermal damage and/or from mechanical damage caused by a medical instrument in the working channel; wherein the protecting feature includes a first pair of opposing parallel plate capacitors operably coupled to the controller and a second pair of opposing parallel plate capacitors operably coupled to the controller; wherein during use: a change in capacitance between the first pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel; and a change in capacitance between the second pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel and at a location within the working channel that is suitable for the medical instrument to be operated; and wherein the controller is operable such that when the change in the capacitance between the first pair of opposing parallel plate capacitors is detected without the change in the capacitance between the second pair of opposing parallel plate capacitors also being detected, the controller prevents operation of the medical instrument.",A61B,"The abstract for the patent claim could be:

This invention relates to an endoscope comprising a controller, an insertion tube, and a working channel, with a protecting feature within the working channel. The protecting feature includes capacitors that can detect the presence and location of a medical instrument in the working channel. The controller can prevent operation of the medical instrument if it is not in a suitable location for operation. This system helps protect the working channel from thermal and mechanical damage caused by the medical instrument."
11213191,"An endoscopic probe extending from a proximal end to a distal end thereof, and configured to be inserted in a tubular lumen to observe a sample is disclosed. The probe includes a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; and a plurality of second waveguides having at least the distal ends thereof arranged in one or more rings around the inner sheath to surround the distal end of the first waveguide. At the distal end, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a tilt angle which can be adjustable. This novel endoscopic probe has a resultant numerical aperture larger than the numerical aperture of each of the second waveguides, and it may be applicable to forward-viewing spectrally encoded endoscopes (SEE).",Optical fiber arrangement for endoscope,"An endoscopic probe extending from a proximal end to a distal end thereof, and configured to observe a sample, the probe comprising: a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; a plurality of second waveguides having at least the distal ends thereof arranged in a first ring pattern around the inner sheath to surround the distal end of the first waveguide, wherein, at the distal end of the inner sheath, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a predetermined angle, wherein the axis of each of the second waveguides is tilted with respect to the axis of the inner sheath, wherein one or more of the second waveguides has its distal end polished perpendicular to the axis of the inner sheath, and wherein the axis of a cone of acceptance for each of the second waveguides is tilted with respect to the axis of the first waveguide by an angle larger than the predetermined angle.",A61B,"The endoscopic probe of the present invention includes a first waveguide enclosed within an inner sheath, extending from the proximal end to the distal end along the axis of the inner sheath. Additionally, a plurality of second waveguides surround the distal end of the first waveguide in a first ring pattern. At the distal end of the inner sheath, the axis of each second waveguide is tilted with respect to the axis of the first waveguide by a predetermined angle, and the axis of each second waveguide is also tilted with respect to the axis of the inner sheath. Some of the second waveguides have their distal ends polished perpendicular to the inner sheath axis. Moreover, the cone of acceptance for each second waveguide is tilted with respect to the axis of the first waveguide by an angle greater than the predetermined angle."
11213192,"An optical scope includes a body and an elongated shaft. The shaft distal end holds an optical assembly including an imaging lens with a field of view of at least 90 degrees. An LED is coupled to the body and has an output numerical aperture (NA) providing a critical angle larger than the field of view. A first pair of fiber bundles have proximal ends receiving light from the LED with distal ends presented at the shaft distal face, and an NA providing a critical angle less than the field of view. A second pair of fiber bundles also receive light from the LED with distal ends having at the shaft distal face, and have an NA providing a critical angle at least as large as the field of view. The bundles are positioned around imaging lens such that they create a light having a desired intensity profile and properties.",Endoscope device and method with illumination fiber bundles having multiple numerical apertures,"An optical device for use in endoscope procedures comprising: a body; an elongated shaft connected to the body and having a distal tip with a distal face; an optical assembly including an imaging lens at the shaft distal face and having a field of view of at least 90 degrees, where the field of view has an angular value of 2θ fov ; an illumination system including: a light emitting diode (LED) coupled to the body, the LED having a radiation distribution larger than the field of view; a first pair of fiber bundles having proximal ends positioned to receive light from the LED, the first pair of fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face, the first pair of fiber bundles having a first numerical aperture (NA) value with an associated critical angle θ c1 , where θ c1 <θ fov ; a second pair of fiber bundles having proximal ends positioned to receive light from the LED, the second pair of fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face, the second pair of fiber bundles having a second numeral aperture (NA) value with an associated second critical angle θ c2 , where θ c2 ≥θ fov ; and wherein the distal ends of first and second pairs of fibers are positioned around the imaging lens such that they create a light field with a higher intensity in a central portion, a lower intensity surrounding the central portion, and all the fiber bundles contribute to create a spatially diverse light field with a circumferentially even light intensity within the field of view.",A61B,"The optical device described in this claim is designed for use in endoscope procedures. It consists of a body connected to an elongated shaft with a distal tip housing an imaging lens that provides a wide field of view of at least 90 degrees. The device also includes an illumination system with a LED that emits light over a larger area than the field of view. Two pairs of fiber bundles, each with different numerical aperture values and critical angles, receive light from the LED and deliver it to the distal face of the shaft without diffusion lenses.

The arrangement of the fiber bundles around the imaging lens creates a light field with higher intensity in the central portion and lower intensity around it, resulting in a spatially diverse light field with even intensity throughout the field of view. This optical setup ensures optimal illumination for endoscopic procedures, enhancing visibility and image quality."
11213193,"An endoscopy system including: an endoscope; a light source; an optical cable connecting the light source to the endoscope; wherein the endoscope includes at least one bundle of endoscope optical fibers; the cable includes at least one bundle of cable optical fibers; a light source coupling point provided where light is coupled into the cable optical fibers; an endoscope coupling point provided where light is coupled from the cable optical fibers into the endoscope optical fibers; and the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling point, the light source including a controller to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling point are not illuminated by the light source.",Endoscopy system and light source of an endoscopy system,"An endoscopy system comprising: an endoscope; a light source; and an optical cable connecting the light source to the endoscope; wherein the endoscope comprises at least one bundle of endoscope optical fibers; the cable comprises at least one bundle of cable optical fibers; a light source coupling is provided where light of the light source is coupled into the at least one bundle of cable optical fibers; an endoscope coupling is provided where light of the light source is coupled from the at least one bundle of cable optical fibers into the at least one bundle of endoscope optical fibers; the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling, the light source comprising a controller configured to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling are not illuminated by the light source; the light source is configured to selectively illuminate individual positions of a predefined virtual position grid arranged to a surface of the light source coupling, and the controller is assigned a memory which, for the individual positions of the predefined virtual position grid, stores information as to whether a cable optical fiber to be illuminated is located at the respective position; and the endoscopy system comprises an image sensor for capturing images generated by the endoscope, and a camera controller configured to evaluate the images captured, wherein the camera controller and the controller are coupled to each other and are configured to determine, based on the evaluation of the captured images, whether one or more of a cable optical fiber coupled to an endoscope optical fiber at the coupling point is located at a position illuminated by the light source, and in which direction light is radiated from an endoscope optical fiber which is coupled to a cable optical fiber arranged at a corresponding position.",A61B,"The endoscopy system described in this patent claim comprises an endoscope, a light source, and an optical cable connecting the light source to the endoscope. The endoscope includes at least one bundle of endoscope optical fibers, while the cable includes at least one bundle of cable optical fibers. A light source coupling is provided to transfer light from the light source to the cable optical fibers and then to the endoscope optical fibers. The light source can selectively illuminate individual cable optical fibers or groups of fibers, with a controller controlling the illumination to ensure only relevant fibers are lit. The system also features a virtual position grid on the light source coupling, with a memory storing the position of illuminated fibers. An image sensor captures images generated by the endoscope, and a camera controller evaluates these images to determine the position of illuminated fibers and the direction of light emission from the endoscope optical fibers."
11213194,"Optical fiber waveguide for communicating electromagnetic radiation pulsed by an emitter in an endoscopic imaging system. A system includes an emitter for emitting pulses of electromagnetic radiation and an endoscope comprising an image sensor for sensing reflected electromagnetic radiation. The system includes a waveguide communicating the pulses of electromagnetic radiation from the emitter to the endoscope. The system is such that at least a portion of the pulses of electromagnetic radiation emitted by the emitter comprises one or more of a hyperspectral emission, a fluorescence emission, and/or a laser mapping pattern.","Optical fiber waveguide in an endoscopic system for hyperspectral, fluorescence, and laser mapping imaging","A system comprising: an emitter for emitting pulses of electromagnetic radiation; an endoscope comprising an image sensor, wherein the image sensor comprises a pixel array for sensing reflected electromagnetic radiation; a waveguide for communicating the pulses of electromagnetic radiation from the emitter to the endoscope; and a controller in electronic communication with the emitter and the image sensor; wherein the image sensor captures data for generating a plurality of exposure frames in response to the pulses of electromagnetic radiation by the emitter, and wherein the plurality of exposure frames comprises a laser mapping exposure frame and further comprises two or more of: a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 513 nm to about 545 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 565 nm to about 585 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 900 nm to about 1000 nm; or a fluorescence exposure frame for identifying a fluorescent reagent, wherein the fluorescence exposure frame is sensed in response to an emission of a fluorescence excitation wavelength; and wherein the laser mapping exposure frame comprises data for calculating a three-dimensional topographical map of a scene and is sensed in response to the emitter pulsing a laser mapping pattern.",A61B,"Abstract: The present invention discloses a system for capturing high-resolution images of tissues using electromagnetic radiation pulses. The system includes an emitter for emitting pulses of electromagnetic radiation, an endoscope with an image sensor that captures reflected radiation, a waveguide for transmitting the radiation pulses, and a controller. The image sensor generates multiple exposure frames in response to the emitter pulses, including a laser mapping exposure frame and additional frames for hyperspectral imaging and fluorescence detection. The system allows for the generation of three-dimensional topographical maps of tissues and identification of tissue characteristics based on spectral responses and fluorescence properties."
