patent_id,patent_abstract,patent_title,claim_text,cpc_subclass,generated_abstract
11213100,"A foot presence sensor system for an active article of footwear can include a sensor housing configured to be disposed at or in an insole of the article, and a controller circuit, disposed within the sensor housing, configured to trigger one or more automated functions of the footwear based on a foot presence indication. In an example, the sensor system includes a capacitive sensor configured to sense changes in a capacitance signal in response to proximity of a body. A dielectric member can be provided between the capacitive sensor and the body to enhance an output signal from the sensor.",Foot presence sensing systems for active footwear,"1. A foot presence sensor system for an active footwear article, the sensor system comprising: a controller circuit provided in the article and configured to trigger one or more automated functions of the article based on a foot presence indication; a capacitive sensor configured to sense a foot location inside the article and provide the foot presence indication, wherein the capacitive sensor includes at least two spaced apart electrodes on a shared planar substrate, and wherein the electrodes are parallel with at least a portion of an upper surface of an insole of the article; and an airgap filling member disposed between the upper surface of the insole and a foot-facing surface of the capacitive sensor in a foot arch-receiving portion of the active footwear article, wherein the airgap filling member has a relative permittivity that is greater than the relative permittivity of air, and wherein the airgap filling member is configured to augment a responsiveness of the capacitive sensor to foot location changes inside the footwear.",A61B,"**Abstract**

The present invention relates to a foot presence sensor system for an active footwear article. The sensor system includes a controller circuit, a capacitive sensor, and an airgap filling member. The controller circuit is configured to trigger one or more automated functions of the article based on a foot presence indication. The capacitive sensor is configured to sense a foot location inside the article and provide the foot presence indication. The airgap filling member is disposed between the upper surface of the insole and a foot-facing surface of the capacitive sensor in a foot arch-receiving portion of the active footwear article. The airgap filling member has a relative permittivity that is greater than the relative permittivity of air, and the airgap filling member is configured to augment a responsiveness of the capacitive sensor to foot location changes inside the footwear."
11213186,"The endoscope apparatus includes an endoscope and a video processor. The endoscope apparatus has a voice coil motor provided in a distal end portion of an insertion portion of the endoscope and having a coil with a resistance component, and a signal wire inserted into the insertion portion and connected to both ends of the coil, detects at least one value of a current supplied to the signal wire and a voltage applied to the signal wire, calculates power consumption of the coil from the at least one value detected and resistance value information of the resistance component, and executes a predetermined process based on the calculated power consumption of the coil and power consumption threshold information.",Endoscope apparatus and image processing apparatus,"1. An endoscope apparatus comprising: an endoscope; a device provided in a distal end portion of an insertion portion of the endoscope and having a resistance component; a signal wire inserted into the insertion portion and connected to both ends of the device; and a processor comprising hardware, wherein the processor is configured to: detect at least one value of: a current supplied to the signal wire, and a voltage applied to the signal wire, calculate power consumption of the device from the at least one value detected and resistance value information of the resistance component, and stop power supply to the signal wire when the calculated power consumption of the device exceeds a power consumption threshold.",A61B,"**Abstract:**
The present invention relates to an endoscope apparatus that can detect the power consumption of a device provided in the distal end portion of the insertion portion of the endoscope. The endoscope apparatus includes a processorconfigured to detect at least one value of a current supplied to a signal wire and a voltage applied to the signal wire. The processor is also configured to calculate power consumption of the device from the at least one value detected and resistance value information of a resistance component. Further, the processor is configured to stop power supply to the signal wire when the calculated power consumption of the device exceeds a power consumption threshold."
11213187,"There is provided an endoscope from which excellent close contact feeling is obtained and which is easy to grip in a case in which an operator is to grip a grip portion.A grip portion of an endoscope has a cross-sectional shape symmetric with respect to a second center line. The grip portion includes a first curved surface, second curved surfaces, and ridges. The first curved surface is a curved surface that is convex outward from a plane, which includes an intersection point between the second center line and the first curved surface and the ridge, and a plane, which includes an intersection point between the second center line and the first curved surface and the ridge. The second curved surfaces are concave inward from planes parallel to the second center line.",Endoscope,"1. An endoscope comprising: an insertion part that is to be inserted into a subject and has a first center line; an operation unit that is connected to a proximal end portion of the insertion part; and a grip portion that is provided integrally with the operation unit and has a cross-sectional shape symmetric with respect to a second center line, wherein the first center line and the second center line are orthogonal to each other, the grip portion includes a first curved surface that crosses the second center line, a second curved surface that is disposed at a position away from the second center line, and a ridge that is positioned between the first and second curved surfaces, the entire first curved surface is convex outward from a plane including an intersection point between the second center line and the first curved surface and the ridge, and the second curved surface is concave inward from a plane parallel to the second center line, wherein a radius of curvature of the first curved surface is maximum at a position where the first curved surface passes through the intersection point, and the radius of curvature of the first curved surface is decreased as the first curved surface is away from the second center line, wherein the ridge is formed in a round shape having a radius in a range of 0.7 mm to 1.0 mm.",A61B,"**Abstract**

This invention discloses an endoscope having an insertion part, an operation unit, and a grip portion. The grip portion has a cross-sectional shape that is symmetric with respect to a second center line, which is orthogonal to the first center line of the insertion part. The grip portion includes a first curved surface that crosses the second center line, a second curved surface that is disposed at a position away from the second center line, and a ridge that is positioned between the first and second curved surfaces. The entire first curved surface is convex outward from a plane including an intersection point between the second center line and the first curved surface and the ridge. The second curved surface is concave inward from a plane parallel to the second center line. The radius of curvature of the first curved surface is maximum at a position where the first curved surface passes through the intersection point, and the radius of curvature of the first curved surface is decreased as the first curved surface is away from the second center line. The ridge is formed in a round shape having a radius in a range of 0.7 mm to 1.0 mm. This design of the grip portion provides an improved ergonomic grip for the endoscope, reducing fatigue and improving handling during endoscopic procedures."
11213188,"An optical fiber scanning device includes a housing, an optical fiber configured to emit light, a magnet disposed on the optical fiber, four drive coils configured to drive the optical fiber by applying to the magnet a magnetic field generated by a received drive power signal, and four detection coils configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.","Optical fiber scanning device, optical scanning type endoscope and endoscope system","1. An optical fiber scanning device comprising: a housing having a cylindrical shape; an optical fiber that is arranged along a center axis of the housing and configured to emit light from a free end of the optical fiber; a magnet disposed on the optical fiber; four drive coils that are disposed in the housing and configured to drive the free end of the optical fiber by applying, to the magnet, a magnetic field generated by a received drive power signal; and four detection coils that are disposed in the housing and configured to output an induced electromotive force signal corresponding to variation of a magnetic field, wherein the drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies.",A61B,"**Abstract**

This invention provides an optical fiber scanning device that can scan a light beam emitted from an optical fiber with high speed and accuracy. The optical fiber scanning device includes a housing having a cylindrical shape, an optical fiber that is arranged along a center axis of the housing and configured to emit light from a free end of the optical fiber, a magnet disposed on the optical fiber, four drive coils that are disposed in the housing and configured to drive the free end of the optical fiber by applying, to the magnet, a magnetic field generated by a received drive power signal, and four detection coils that are disposed in the housing and configured to output an induced electromotive force signal corresponding to variation of a magnetic field. The drive power signal is controlled based on the induced electromotive force signal, and four coil assemblies each including any one of the drive coils and any one of the detection coils are disposed at rotationally symmetrical positions so as to interpose the optical fiber among the four coil assemblies."
11213189,"The invention relates to an endoscopic device, in particular for medical applications, comprising an endoscope with a shaft that is introducible into a subject under examination, and a data processing unit, three or more optical imaging units having respective imaging elements arranged distally on the shaft and image sensors associated therewith for providing image data sets for the data processing unit, wherein the data processing unit is configured and programmed such that it uses the image data sets to determine corresponding image points therein and generates a 3D surface data set of an object imaged by the imaging units in the subject under examination. Moreover, the invention relates to a method for endoscopic examination.",Endoscopic device and method for endoscopic examination,"1. An endoscopic device, comprising: an endoscope with a shaft that is introducible into a subject under examination, a data processing unit, and three or more optical imaging units comprising respective imaging elements arranged distally on the shaft and respective image sensors associated therewith for providing three or more image data sets for the data processing unit, wherein the data processing unit is configured and programmed to: analyze each of the three or more image data sets and determine corresponding image points in each of the three or more image data sets; on the basis of the three or more image data sets, generate a 3D surface data set of an object in the subject under examination imaged by the three or more optical imaging units; identify the object in the respective 3D surface data set and determine differences between successive 3D surface data sets; and determine changes in a position and/or shape of the object in the successive 3D surface data sets as a function of time so as to track the object, at least in sections thereof.",A61B,"**Abstract**

The present disclosure relates to an endoscopic device and a method used with an endoscope having a shaft that is introducible into a subject under examination. The device includes a data processing unit and three or more optical imaging units comprising respective imaging elements arranged distally on the shaft and respective image sensors associated therewith for providing three or more image data sets for the data processing unit. The data processing unit analyzes each of the three or more image data sets and generates a 3D surface data set of an object in the subject under examination imaged by the three or more optical imaging units. The data processing unit further identifies the object in the respective 3D surface data set and determines changes in a position and/or shape of the object in the successive 3D surface data sets as a function of time so as to track the object or at least sections thereof."
11213190,"An endoscope including an insertion tube, a working, channel located within the insertion tube, and a protecting feature disposed within at least a portion, of the working channel The protecting feature may be adapted to protect the working-channel from thermal damage and/or from mechanical damage caused by a medical instrument located in the working channel. The protecting feature may be adapted to determine presence or absence of a medical instrument within the working channel, arid/or a location of the medical instrument within the working channel.",Endoscope working channel protection,"1. An endoscope comprising: a controller; an insertion tube; a working channel within the insertion tube; and a protecting feature disposed within at least a portion of the working channel, the protecting feature adapted to protect the working channel from thermal damage and/or from mechanical damage caused by a medical instrument in the working channel; wherein the protecting feature includes a first pair of opposing parallel plate capacitors operably coupled to the controller and a second pair of opposing parallel plate capacitors operably coupled to the controller; wherein during use: a change in capacitance between the first pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel; and a change in capacitance between the second pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel and at a location within the working channel that is suitable for the medical instrument to be operated; and wherein the controller is operable such that when the change in the capacitance between the first pair of opposing parallel plate capacitors is detected without the change in the capacitance between the second pair of opposing parallel plate capacitors also being detected, the controller prevents operation of the medical instrument.",A61B,"The present invention relates to an endoscope, in particular, to an endoscope that is able to detect a medical instrument within a working channel and to prevent operation of the medical instrument if the medical instrument is not located at a suitable location within the working channel. The endoscope includes a controller, an insertion tube, a working channel within the insertion tube, and a protecting feature disposed within at least a portion of the working channel. The protecting feature includes a first pair of opposing parallel plate capacitors operably coupled to the controller and a second pair of opposing parallel plate capacitors operably coupled to the controller. During use, a change in capacitance between the first pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel, and a change in capacitance between the second pair of opposing parallel plate capacitors is indicative of the medical instrument being located in the working channel and at a location within the working channel that is suitable for the medical instrument to be operated. The controller is operable such that when the change in the capacitance between the first pair of opposing parallel plate capacitors is detected without the change in the capacitance between the second pair of opposing parallel plate capacitors also being detected, the controller prevents operation of the medical instrument."
11213191,"An endoscopic probe extending from a proximal end to a distal end thereof, and configured to be inserted in a tubular lumen to observe a sample is disclosed. The probe includes a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; and a plurality of second waveguides having at least the distal ends thereof arranged in one or more rings around the inner sheath to surround the distal end of the first waveguide. At the distal end, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a tilt angle which can be adjustable. This novel endoscopic probe has a resultant numerical aperture larger than the numerical aperture of each of the second waveguides, and it may be applicable to forward-viewing spectrally encoded endoscopes (SEE).",Optical fiber arrangement for endoscope,"1. An endoscopic probe extending from a proximal end to a distal end thereof, and configured to observe a sample, the probe comprising: a first waveguide enclosed within an inner sheath and extending from the proximal end to the distal end along an axis of the inner sheath; a plurality of second waveguides having at least the distal ends thereof arranged in a first ring pattern around the inner sheath to surround the distal end of the first waveguide, wherein, at the distal end of the inner sheath, the axis of each of the second waveguides is tilted with respect to the axis of the first waveguide by a predetermined angle, wherein the axis of each of the second waveguides is tilted with respect to the axis of the inner sheath, wherein one or more of the second waveguides has its distal end polished perpendicular to the axis of the inner sheath, and wherein the axis of a cone of acceptance for each of the second waveguides is tilted with respect to the axis of the first waveguide by an angle larger than the predetermined angle.",A61B,"**Abstract**

This invention relates to an endoscopic probe for observing a sample. The probe comprises a first waveguide extending from a proximal end to a distal end along an axis of the probe. A plurality of second waveguides are arranged in a first ring pattern around the first waveguide at the distal end of the probe. The axes of the second waveguides are tilted with respect to the axis of the first waveguide by a predetermined angle and with respect to the axis of the probe. One or more of the second waveguides has its distal end polished perpendicular to the axis of the probe. The axis of a cone of acceptance for each of the second waveguides is tilted with respect to the axis of the first waveguide by an angle larger than the predetermined angle. This allows the probe to observe a wider field of view without sacrificing image quality."
11213192,"An optical scope includes a body and an elongated shaft. The shaft distal end holds an optical assembly including an imaging lens with a field of view of at least 90 degrees. An LED is coupled to the body and has an output numerical aperture (NA) providing a critical angle larger than the field of view. A first pair of fiber bundles have proximal ends receiving light from the LED with distal ends presented at the shaft distal face, and an NA providing a critical angle less than the field of view. A second pair of fiber bundles also receive light from the LED with distal ends having at the shaft distal face, and have an NA providing a critical angle at least as large as the field of view. The bundles are positioned around imaging lens such that they create a light having a desired intensity profile and properties.",Endoscope device and method with illumination fiber bundles having multiple numerical apertures,"1. An optical device for use in endoscope procedures comprising: a body; an elongated shaft connected to the body and having a distal tip with a distal face; an optical assembly including an imaging lens at the shaft distal face and having a field of view of at least 90 degrees, where the field of view has an angular value of 2θ fov ; an illumination system including: a light emitting diode (LED) coupled to the body, the LED having a radiation distribution larger than the field of view; a first pair of fiber bundles having proximal ends positioned to receive light from the LED, the first pair of fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face, the first pair of fiber bundles having a first numerical aperture (NA) value with an associated critical angle θ c1 , where θ c1 <θ fov ; a second pair of fiber bundles having proximal ends positioned to receive light from the LED, the second pair of fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face, the second pair of fiber bundles having a second numeral aperture (NA) value with an associated second critical angle θ c2 , where θ c2 ≥θ fov ; and wherein the distal ends of first and second pairs of fibers are positioned around the imaging lens such that they create a light field with a higher intensity in a central portion, a lower intensity surrounding the central portion, and all the fiber bundles contribute to create a spatially diverse light field with a circumferentially even light intensity within the field of view.",A61B,"**Abstract**

This invention relates to an optical device for use in endoscope procedures, in particular to an optical device that provides a wide field of view and a spatially diverse light field. The optical device includes an elongated shaft having a distal tip with a distal face, and an optical assembly including an imaging lens at the shaft distal face and having a field of view of at least 90 degrees. The optical assembly also includes an illumination system including a light emitting diode (LED) coupled to the body, the LED having a radiation distribution larger than the field of view. The illumination system also includes four fiber bundles having proximal ends positioned to receive light from the LED, the four fiber bundles passing through the shaft with distal ends having no diffusion lenses and presented at the shaft distal face. The four fiber bundles are arranged in two pairs, with each pair having a different numerical aperture (NA) value. The distal ends of the first and second pairs of fibers are positioned around the imaging lens such that they create a light field with a higher intensity in a central portion, a lower intensity surrounding the central portion, and all the fiber bundles contribute to create a spatially diverse light field with a circumferentially even light intensity within the field of view."
11213193,"An endoscopy system including: an endoscope; a light source; an optical cable connecting the light source to the endoscope; wherein the endoscope includes at least one bundle of endoscope optical fibers; the cable includes at least one bundle of cable optical fibers; a light source coupling point provided where light is coupled into the cable optical fibers; an endoscope coupling point provided where light is coupled from the cable optical fibers into the endoscope optical fibers; and the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling point, the light source including a controller to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling point are not illuminated by the light source.",Endoscopy system and light source of an endoscopy system,"1. An endoscopy system comprising: an endoscope; a light source; and an optical cable connecting the light source to the endoscope; wherein the endoscope comprises at least one bundle of endoscope optical fibers; the cable comprises at least one bundle of cable optical fibers; a light source coupling is provided where light of the light source is coupled into the at least one bundle of cable optical fibers; an endoscope coupling is provided where light of the light source is coupled from the at least one bundle of cable optical fibers into the at least one bundle of endoscope optical fibers; the light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling, the light source comprising a controller configured to control the light source such that at least some of the cable optical fibers not coupled to endoscope optical fibers at the endoscope coupling are not illuminated by the light source; the light source is configured to selectively illuminate individual positions of a predefined virtual position grid arranged to a surface of the light source coupling, and the controller is assigned a memory which, for the individual positions of the predefined virtual position grid, stores information as to whether a cable optical fiber to be illuminated is located at the respective position; and the endoscopy system comprises an image sensor for capturing images generated by the endoscope, and a camera controller configured to evaluate the images captured, wherein the camera controller and the controller are coupled to each other and are configured to determine, based on the evaluation of the captured images, whether one or more of a cable optical fiber coupled to an endoscope optical fiber at the coupling point is located at a position illuminated by the light source, and in which direction light is radiated from an endoscope optical fiber which is coupled to a cable optical fiber arranged at a corresponding position.",A61B,"The present invention relates to an endoscopy system comprising an endoscope, a light source, and an optical cable connecting the light source to the endoscope. The light source is configured to selectively illuminate individual cable optical fibers or groups of cable optical fibers at the light source coupling, and the controller is assigned a memory which, for the individual positions of a predefined virtual position grid, stores information as to whether a cable optical fiber to be illuminated is located at the respective position. The endoscopy system comprises an image sensor for capturing images generated by the endoscope, and a camera controller configured to evaluate the images captured, wherein the camera controller and the controller are coupled to each other and are configured to determine, based on the evaluation of the captured images, whether one or more of a cable optical fiber coupled to an endoscope optical fiber at the coupling point is located at a position illuminated by the light source, and in which direction light is radiated from an endoscope optical fiber which is coupled to a cable optical fiber arranged at a corresponding position."
11213194,"Optical fiber waveguide for communicating electromagnetic radiation pulsed by an emitter in an endoscopic imaging system. A system includes an emitter for emitting pulses of electromagnetic radiation and an endoscope comprising an image sensor for sensing reflected electromagnetic radiation. The system includes a waveguide communicating the pulses of electromagnetic radiation from the emitter to the endoscope. The system is such that at least a portion of the pulses of electromagnetic radiation emitted by the emitter comprises one or more of a hyperspectral emission, a fluorescence emission, and/or a laser mapping pattern.","Optical fiber waveguide in an endoscopic system for hyperspectral, fluorescence, and laser mapping imaging","1. A system comprising: an emitter for emitting pulses of electromagnetic radiation; an endoscope comprising an image sensor, wherein the image sensor comprises a pixel array for sensing reflected electromagnetic radiation; a waveguide for communicating the pulses of electromagnetic radiation from the emitter to the endoscope; and a controller in electronic communication with the emitter and the image sensor; wherein the image sensor captures data for generating a plurality of exposure frames in response to the pulses of electromagnetic radiation by the emitter, and wherein the plurality of exposure frames comprises a laser mapping exposure frame and further comprises two or more of: a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 513 nm to about 545 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 565 nm to about 585 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 900 nm to about 1000 nm; or a fluorescence exposure frame for identifying a fluorescent reagent, wherein the fluorescence exposure frame is sensed in response to an emission of a fluorescence excitation wavelength; and wherein the laser mapping exposure frame comprises data for calculating a three-dimensional topographical map of a scene and is sensed in response to the emitter pulsing a laser mapping pattern.",A61B,"**Abstract**

This invention relates to a system for generating images of a scene using an endoscope. The system includes an emitter for emitting pulses of electromagnetic radiation, an endoscope comprising an image sensor, a waveguide for communicating the pulses of electromagnetic radiation from the emitter to the endoscope, and a controller in electronic communication with the emitter and the image sensor. The image sensor captures data for generating a plurality of exposure frames in response to the pulses of electromagnetic radiation by the emitter. The plurality of exposure frames comprises a laser mapping exposure frame and further comprises two or more of: a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 513 nm to about 545 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 565 nm to about 585 nm; a hyperspectral exposure frame for identifying a spectral response of a tissue, wherein the hyperspectral exposure frame is sensed in response to an emission of electromagnetic radiation having a wavelength from about 900 nm to about 1000 nm; or a fluorescence exposure frame for identifying a fluorescent reagent, wherein the fluorescence exposure frame is sensed in response to an emission of a fluorescence excitation wavelength. The laser mapping exposure frame comprises data for calculating a three-dimensional topographical map of a scene and is sensed in response to the emitter pulsing a laser mapping pattern."
